id,gid,x,y,v_x,v_y,radius,time
2,1,-1.193400,0.070366,-1.364675,0.094501,0.750000,1.000000
0,0,-7.803256,-1.018771,1.374657,0.049015,0.750000,1.100000
1,0,-7.591445,1.072624,1.280557,0.145685,0.750000,1.100000
2,1,-1.342133,0.076731,-1.487329,0.063652,0.750000,1.100000
0,0,-7.670181,-1.001571,1.330751,0.171994,0.750000,1.200000
1,0,-7.468613,1.074512,1.228311,0.018888,0.750000,1.200000
2,1,-1.476763,0.079343,-1.346301,0.026124,0.750000,1.200000
0,0,-7.527923,-0.988356,1.422581,0.132153,0.750000,1.300000
1,0,-7.371006,1.091740,0.976080,0.172278,0.750000,1.300000
2,1,-1.623036,0.093863,-1.462729,0.145193,0.750000,1.300000
0,0,-7.387009,-0.980153,1.409138,0.082031,0.750000,1.400000
1,0,-7.255071,1.085298,1.159343,-0.064420,0.750000,1.400000
2,1,-1.744183,0.096148,-1.211476,0.022856,0.750000,1.400000
0,0,-7.259849,-0.983872,1.271596,-0.037197,0.750000,1.500000
1,0,-7.105616,1.105819,1.494551,0.205211,0.750000,1.500000
2,1,-1.897038,0.098161,-1.528544,0.020124,0.750000,1.500000
0,0,-7.124669,-0.981045,1.351797,0.028274,0.750000,1.600000
1,0,-6.959030,1.128438,1.465864,0.226183,0.750000,1.600000
2,1,-2.035700,0.116699,-1.386628,0.185389,0.750000,1.600000
0,0,-7.002908,-0.978503,1.217618,0.025419,0.750000,1.700000
1,0,-6.823944,1.139376,1.350852,0.109385,0.750000,1.700000
2,1,-2.162799,0.116220,-1.270990,-0.004790,0.750000,1.700000
0,0,-6.874868,-1.016104,1.280401,-0.376007,0.750000,1.800000
1,0,-6.686877,1.178665,1.370672,0.392888,0.750000,1.800000
2,1,-2.280845,0.114335,-1.180453,-0.018859,0.750000,1.800000
0,0,-6.748369,-1.057184,1.264984,-0.410808,0.750000,1.900000
1,0,-6.538015,1.219574,1.488617,0.409089,0.750000,1.900000
2,1,-2.391135,0.108140,-1.102901,-0.061950,0.750000,1.900000
0,0,-6.617464,-1.096744,1.309052,-0.395595,0.750000,2.000000
1,0,-6.402355,1.264941,1.356602,0.453675,0.750000,2.000000
2,1,-2.501621,0.097222,-1.104867,-0.109179,0.750000,2.000000
0,0,-6.506571,-1.131891,1.108926,-0.351469,0.750000,2.100000
1,0,-6.271174,1.281720,1.311809,0.167787,0.750000,2.100000
2,1,-2.641562,0.095713,-1.399408,-0.015091,0.750000,2.100000
0,0,-6.359771,-1.159256,1.468002,-0.273647,0.750000,2.200000
1,0,-6.157386,1.318071,1.137880,0.363507,0.750000,2.200000
2,1,-2.775539,0.080404,-1.339770,-0.153081,0.750000,2.200000
0,0,-6.205402,-1.203528,1.543695,-0.442724,0.750000,2.300000
1,0,-6.040694,1.356397,1.166922,0.383268,0.750000,2.300000
2,1,-2.906629,0.096225,-1.310893,0.158208,0.750000,2.300000
0,0,-6.038191,-1.249536,1.672103,-0.460084,0.750000,2.400000
1,0,-5.928494,1.397016,1.122001,0.406182,0.750000,2.400000
2,1,-3.036545,0.114899,-1.299167,0.186733,0.750000,2.400000
0,0,-5.899365,-1.255705,1.388263,-0.061689,0.750000,2.500000
1,0,-5.816952,1.434542,1.115419,0.375266,0.750000,2.500000
2,1,-3.173174,0.108631,-1.366286,-0.062671,0.750000,2.500000
0,0,-5.785883,-1.281030,1.134818,-0.253250,0.750000,2.600000
1,0,-5.681606,1.470781,1.353463,0.362391,0.750000,2.600000
2,1,-3.311709,0.126755,-1.385351,0.181231,0.750000,2.600000
0,0,-5.676040,-1.302323,1.098435,-0.212925,0.750000,2.700000
1,0,-5.540930,1.513225,1.406756,0.424433,0.750000,2.700000
2,1,-3.445183,0.129893,-1.334742,0.031382,0.750000,2.700000
0,0,-5.559702,-1.318891,1.163378,-0.165682,0.750000,2.800000
1,0,-5.401588,1.546533,1.393420,0.333087,0.750000,2.800000
2,1,-3.610236,0.145002,-1.650524,0.151092,0.750000,2.800000
0,0,-5.435418,-1.320586,1.242835,-0.016952,0.750000,2.900000
1,0,-5.251016,1.594427,1.505721,0.478941,0.750000,2.900000
2,1,-3.749177,0.159949,-1.389411,0.149470,0.750000,2.900000
0,0,-5.330737,-1.311756,1.046813,0.088305,0.750000,3.000000
1,0,-5.112863,1.646153,1.381528,0.517259,0.750000,3.000000
2,1,-3.900243,0.191490,-1.510663,0.315409,0.750000,3.000000
0,0,-5.211114,-1.311311,1.196229,0.004452,0.750000,3.100000
1,0,-5.014760,1.708053,0.981034,0.618996,0.750000,3.100000
2,1,-4.077898,0.205155,-1.776553,0.136652,0.750000,3.100000
0,0,-5.087805,-1.303474,1.233091,0.078370,0.750000,3.200000
1,0,-4.913481,1.754071,1.012786,0.460186,0.750000,3.200000
2,1,-4.219866,0.209207,-1.419676,0.040518,0.750000,3.200000
0,0,-4.961856,-1.300900,1.259488,0.025738,0.750000,3.300000
1,0,-4.796091,1.770524,1.173904,0.164521,0.750000,3.300000
2,1,-4.370064,0.246437,-1.501977,0.372301,0.750000,3.300000
0,0,-4.846516,-1.300943,1.153408,-0.000432,0.750000,3.400000
1,0,-4.681750,1.814521,1.143411,0.439970,0.750000,3.400000
2,1,-4.518008,0.266060,-1.479449,0.196234,0.750000,3.400000
0,0,-4.722905,-1.306697,1.236110,-0.057542,0.750000,3.500000
1,0,-4.554534,1.833825,1.272159,0.193042,0.750000,3.500000
2,1,-4.666003,0.280269,-1.479949,0.142085,0.750000,3.500000
0,0,-4.591632,-1.310279,1.312721,-0.035823,0.750000,3.600000
1,0,-4.420140,1.856942,1.343939,0.231173,0.750000,3.600000
2,1,-4.818827,0.279393,-1.528235,-0.008762,0.750000,3.600000
0,0,-4.445726,-1.297436,1.459066,0.128437,0.750000,3.700000
1,0,-4.287942,1.856926,1.321982,-0.000160,0.750000,3.700000
2,1,-4.949855,0.273374,-1.310282,-0.060190,0.750000,3.700000
0,0,-4.296715,-1.274983,1.490110,0.224531,0.750000,3.800000
1,0,-4.170165,1.856024,1.177766,-0.009018,0.750000,3.800000
2,1,-5.085540,0.266966,-1.356846,-0.064079,0.750000,3.800000
